bird_class,bird_number_x,matches_x,matches2_x,bird_number_y,matches2_y,English name,Scientific Name,matches_y,Species1,Family1,Order1,Avibase.ID1,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
Laysan Albatross,2,Laysan Albatross,Laysan Albatross,2,Laysan Albatross,Laysan Albatross,Phoebastria immutabilis,Phoebastria immutabilis,Phoebastria immutabilis,Diomedeidae,Procellariiformes,AVIBASE-98FB6D4B,2,108.0,74.6,20.7,28.2,82.6,474.4,313.0,159.5,66.2,147.2,3145.9,Marine,3,2.0,Carnivore,Aquatic predator,Aquatic,12.81,65.2,35.54,-24.85,45350856.11
Yellow breasted Chat,20,Yellow-breasted Chat,Yellow-breasted Chat,20,Yellow-breasted Chat,Yellow-breasted Chat,Icteria virens,Icteria virens,Icteria virens,Icteridae,Passeriformes,AVIBASE-734C73A9,5,16.3,10.5,4.8,6.3,26.1,76.5,16.3,60.5,21.3,71.8,24.9,Forest,2,1.0,Carnivore,Invertivore,Insessorial,20.9,53.94,38.56,-103.26,6188045.96
Common Yellowthroat,200,Common Yellowthroat,Common Yellowthroat,200,Common Yellowthroat,Common Yellowthroat,Geothlypis trichas,Geothlypis trichas,Geothlypis trichas,Parulidae,Passeriformes,AVIBASE-BA4C8A02,5,12.7,7.9,3.0,3.3,20.2,54.7,8.5,44.3,16.1,49.4,9.5,Wetland,1,3.0,Carnivore,Invertivore,Insessorial,18.49,65.84,44.7,-101.34,12826786.25
Eastern Towhee,21,Eastern Towhee,Eastern Towhee,21,Eastern Towhee,Eastern Towhee,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Passerellidae,Passeriformes,AVIBASE-6090278A,8,15.4,9.8,5.5,8.2,27.0,82.3,11.1,70.8,13.6,91.7,40.0,Forest,2,2.0,Herbivore,Omnivore,Generalist,24.53,51.51,39.13,-85.4,3162018.06
Chuck will Widow,22,Chuck-will's-widow,Chuck-will's-widow,22,Chuck-will's-widow,Chuck-will's-widow,Antrostomus carolinensis,Antrostomus carolinensis,Antrostomus carolinensis,Caprimulgidae,Caprimulgiformes,AVIBASE-8D3E8871,4,15.2,7.5,6.2,4.0,17.5,207.7,106.2,100.1,51.5,141.1,109.0,Woodland,2,3.0,Carnivore,Invertivore,Aerial,24.95,42.41,33.91,-88.6,1808676.44
Brandt Cormorant,23,Brandt's Cormorant,Brandt's Cormorant,23,Brandt's Cormorant,Brandt's Cormorant,Urile penicillatus,Urile penicillatus,Urile penicillatus,Phalacrocoracidae,Suliformes,AVIBASE-987A703D,4,76.5,60.1,12.7,17.8,65.5,280.6,103.2,174.5,37.1,115.4,2224.2,Marine,3,2.0,Carnivore,Aquatic predator,Aquatic,24.06,52.44,41.19,-122.33,326313.7
Red faced Cormorant,24,Red-faced Cormorant,Red-faced Cormorant,24,Red-faced Cormorant,Red-faced Cormorant,Urile urile,Urile urile,Urile urile,Phalacrocoracidae,Suliformes,AVIBASE-05DDE8C1,4,55.5,42.4,9.2,11.6,56.2,270.4,84.7,186.1,31.3,154.2,2117.7,Marine,3,1.0,Carnivore,Aquatic predator,Aquatic,41.89,61.51,52.54,26.88,1348091.15
Pelagic Cormorant,25,Pelagic Cormorant,Pelagic Cormorant,25,Pelagic Cormorant,Pelagic Cormorant,Urile pelagicus,Urile pelagicus,Urile pelagicus,Phalacrocoracidae,Suliformes,AVIBASE-A429B5B8,4,51.9,38.8,8.4,10.0,53.6,254.4,87.0,171.3,33.6,137.4,1844.0,Marine,3,1.0,Carnivore,Aquatic predator,Aquatic,31.79,70.32,56.1,13.61,1686730.59
Bronzed Cowbird,26,Bronzed Cowbird,Bronzed Cowbird,26,Bronzed Cowbird,Bronzed Cowbird,Molothrus aeneus,Molothrus aeneus,Molothrus aeneus,Icteridae,Passeriformes,AVIBASE-EAEEA093,4,22.2,14.7,6.1,9.7,29.1,108.0,27.1,80.4,25.3,77.0,62.6,Forest,2,1.0,Omnivore,Granivore,Terrestrial,7.2,35.86,23.63,-99.9,2518193.73
Shiny Cowbird,27,Shiny Cowbird,Shiny Cowbird,27,Shiny Cowbird,Shiny Cowbird,Molothrus bonariensis,Molothrus bonariensis,Molothrus bonariensis,Icteridae,Passeriformes,AVIBASE-AA779804,4,19.7,12.5,6.5,8.3,25.5,109.9,29.5,78.2,27.3,82.7,41.5,Woodland,2,1.0,Omnivore,Invertivore,Terrestrial,-44.17,28.13,-10.72,-59.54,13210499.69
